soc_code,sic_code,byear_grp,name,title_matched,element,daily,weekly
11-9179.01,93.13,2008,Fitness facilities,Fitness and Wellness Coordinators,Contact With Others,60,100
11-9179.01,93.13,2008,Fitness facilities,Fitness and Wellness Coordinators,Work With Work Group or Team,64,92
11-9179.01,93.13,2008,Fitness facilities,Fitness and Wellness Coordinators,Deal With External Customers,30.77,69.23
11-9199.01,71.111,2009,Planning and regulation services,Regulatory Affairs Managers,Public Speaking,3.57,10.71
11-9199.01,71.111,2009,Planning and regulation services,Regulatory Affairs Managers,Face-to-Face Discussions,85.19,100
11-9199.01,71.111,2009,Planning and regulation services,Regulatory Affairs Managers,Contact With Others,48.15,81.48
11-9199.01,71.111,2009,Planning and regulation services,Regulatory Affairs Managers,Work With Work Group or Team,57.69,96.15
11-9199.01,71.111,2009,Planning and regulation services,Regulatory Affairs Managers,Deal With External Customers,22.22,51.85
13-1021.00,1.122,2008,Growing of nursery products,"Buyers and Purchasing Agents, Farm Products",Public Speaking,2.37,2.37
13-1021.00,1.122,2008,Growing of nursery products,"Buyers and Purchasing Agents, Farm Products",Face-to-Face Discussions,98.51,99.31
13-1021.00,1.122,2008,Growing of nursery products,"Buyers and Purchasing Agents, Farm Products",Contact With Others,89.23,89.92
13-1021.00,1.122,2008,Growing of nursery products,"Buyers and Purchasing Agents, Farm Products",Work With Work Group or Team,63.55,99.31
13-1021.00,1.122,2008,Growing of nursery products,"Buyers and Purchasing Agents, Farm Products",Deal With External Customers,49.54,84.09
13-1021.00,46.21,2009,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","Buyers and Purchasing Agents, Farm Products",Public Speaking,2.37,2.37
13-1021.00,46.21,2009,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","Buyers and Purchasing Agents, Farm Products",Face-to-Face Discussions,98.51,99.31
13-1021.00,46.21,2009,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","Buyers and Purchasing Agents, Farm Products",Contact With Others,89.23,89.92
13-1021.00,46.21,2009,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","Buyers and Purchasing Agents, Farm Products",Work With Work Group or Team,63.55,99.31
13-1021.00,46.21,2009,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","Buyers and Purchasing Agents, Farm Products",Deal With External Customers,49.54,84.09
13-1021.00,46.61,2009,"Wholesale of agricultural machinery, equipment and supplies","Buyers and Purchasing Agents, Farm Products",Public Speaking,2.37,2.37
13-1021.00,46.61,2009,"Wholesale of agricultural machinery, equipment and supplies","Buyers and Purchasing Agents, Farm Products",Face-to-Face Discussions,98.51,99.31
13-1021.00,46.61,2009,"Wholesale of agricultural machinery, equipment and supplies","Buyers and Purchasing Agents, Farm Products",Contact With Others,89.23,89.92
13-1021.00,46.61,2009,"Wholesale of agricultural machinery, equipment and supplies","Buyers and Purchasing Agents, Farm Products",Work With Work Group or Team,63.55,99.31
13-1021.00,46.61,2009,"Wholesale of agricultural machinery, equipment and supplies","Buyers and Purchasing Agents, Farm Products",Deal With External Customers,49.54,84.09
13-1021.00,47.761,2009,"Retail sale of flowers, plants, seeds and fertilisers in specialised stores","Buyers and Purchasing Agents, Farm Products",Public Speaking,2.37,2.37
13-1021.00,47.761,2009,"Retail sale of flowers, plants, seeds and fertilisers in specialised stores","Buyers and Purchasing Agents, Farm Products",Face-to-Face Discussions,98.51,99.31
13-1021.00,47.761,2009,"Retail sale of flowers, plants, seeds and fertilisers in specialised stores","Buyers and Purchasing Agents, Farm Products",Contact With Others,89.23,89.92
13-1021.00,47.761,2009,"Retail sale of flowers, plants, seeds and fertilisers in specialised stores","Buyers and Purchasing Agents, Farm Products",Work With Work Group or Team,63.55,99.31
13-1021.00,47.761,2009,"Retail sale of flowers, plants, seeds and fertilisers in specialised stores","Buyers and Purchasing Agents, Farm Products",Deal With External Customers,49.54,84.09
13-1021.00,51.21,2008,"Wholesale of grain, seeds and animal feeds","Buyers and Purchasing Agents, Farm Products",Public Speaking,2.37,2.37
13-1021.00,51.21,2008,"Wholesale of grain, seeds and animal feeds","Buyers and Purchasing Agents, Farm Products",Face-to-Face Discussions,98.51,99.31
13-1021.00,51.21,2008,"Wholesale of grain, seeds and animal feeds","Buyers and Purchasing Agents, Farm Products",Contact With Others,89.23,89.92
13-1021.00,51.21,2008,"Wholesale of grain, seeds and animal feeds","Buyers and Purchasing Agents, Farm Products",Work With Work Group or Team,63.55,99.31
13-1021.00,51.21,2008,"Wholesale of grain, seeds and animal feeds","Buyers and Purchasing Agents, Farm Products",Deal With External Customers,49.54,84.09
13-1021.00,51.88,2008,"Wholesale of agricultural machinery and accessories and implements, including tractors","Buyers and Purchasing Agents, Farm Products",Public Speaking,2.37,2.37
13-1021.00,51.88,2008,"Wholesale of agricultural machinery and accessories and implements, including tractors","Buyers and Purchasing Agents, Farm Products",Face-to-Face Discussions,98.51,99.31
13-1021.00,51.88,2008,"Wholesale of agricultural machinery and accessories and implements, including tractors","Buyers and Purchasing Agents, Farm Products",Contact With Others,89.23,89.92
13-1021.00,51.88,2008,"Wholesale of agricultural machinery and accessories and implements, including tractors","Buyers and Purchasing Agents, Farm Products",Work With Work Group or Team,63.55,99.31
13-1021.00,51.88,2008,"Wholesale of agricultural machinery and accessories and implements, including tractors","Buyers and Purchasing Agents, Farm Products",Deal With External Customers,49.54,84.09
13-1021.00,52.464,2008,Retail sale of wood,"Buyers and Purchasing Agents, Farm Products",Public Speaking,2.37,2.37
13-1021.00,52.464,2008,Retail sale of wood,"Buyers and Purchasing Agents, Farm Products",Face-to-Face Discussions,98.51,99.31
13-1021.00,52.464,2008,Retail sale of wood,"Buyers and Purchasing Agents, Farm Products",Contact With Others,89.23,89.92
13-1021.00,52.464,2008,Retail sale of wood,"Buyers and Purchasing Agents, Farm Products",Work With Work Group or Team,63.55,99.31
13-1021.00,52.464,2008,Retail sale of wood,"Buyers and Purchasing Agents, Farm Products",Deal With External Customers,49.54,84.09
13-1021.00,47.761,2008,"Retail sale of flowers, plants, seeds and fertilisers in specialised stores","Buyers and Purchasing Agents, Farm Products",Public Speaking,2.37,2.37
13-1021.00,47.761,2008,"Retail sale of flowers, plants, seeds and fertilisers in specialised stores","Buyers and Purchasing Agents, Farm Products",Face-to-Face Discussions,98.51,99.31
13-1021.00,47.761,2008,"Retail sale of flowers, plants, seeds and fertilisers in specialised stores","Buyers and Purchasing Agents, Farm Products",Contact With Others,89.23,89.92
